"Default","FACTU_0_CurrentTotalBalance","FACTU_0_CashBalance","FACTU_0_CreditLimit","FACTU_0_DelqCycle","FACTU_1_CurrentTotalBalance","FACTU_1_CashBalance","FACTU_1_CreditLimit","FACTU_1_DelqCycle","FACTU_2_CurrentTotalBalance","FACTU_2_CashBalance","FACTU_2_CreditLimit","FACTU_2_DelqCycle","FACTU_3_CurrentTotalBalance","FACTU_3_CashBalance","FACTU_3_CreditLimit","FACTU_3_DelqCycle","FACTU_4_CurrentTotalBalance","FACTU_4_CashBalance","FACTU_4_CreditLimit","FACTU_4_DelqCycle","FACTU_5_CurrentTotalBalance","FACTU_5_CashBalance","FACTU_5_CreditLimit","FACTU_5_DelqCycle","FACTU_6_CurrentTotalBalance","FACTU_6_CashBalance","FACTU_6_CreditLimit","FACTU_6_DelqCycle","FACTU_7_CurrentTotalBalance","FACTU_7_CashBalance","FACTU_7_CreditLimit","FACTU_7_DelqCycle","FACTU_8_CurrentTotalBalance","FACTU_8_CashBalance","FACTU_8_CreditLimit","FACTU_8_DelqCycle","FACTU_9_CurrentTotalBalance","FACTU_9_CashBalance","FACTU_9_CreditLimit","FACTU_9_DelqCycle"
0,405.96,0,20200,0,479.98,0,20200,0,394.8,0,20200,0,294.25,0,20200,0,878.59,0,20200,0,1889,0,20200,0,479.98,0,20200,0,479.98,0,20200,0,479.98,0,20200,0,479.98,0,20200,0
0,80.8,0,15900,0,201.96,0,15900,0,722.03,0,15900,0,326.48,0,15900,0,386.58,0,15900,0,759.52,0,15900,0,201.96,0,15900,0,201.96,0,15900,0,201.96,0,15900,0,201.96,0,15900,0
0,3382.05,0,3300,1,2841,0,3300,0,3343.38,309.06,3300,0,3785.66,529,3300,1,3476.42,544.87,3300,0,4161.56,0,3300,0,2841,0,3300,0,2841,0,3300,0,2841,0,3300,0,2841,0,3300,0
0,1302.19,0,7500,0,393.72,0,7500,0,157.29,0,7500,0,751.9,0,7500,0,1965.24,0,7500,0,684.8,0,7500,0,393.72,0,7500,0,393.72,0,7500,0,393.72,0,7500,0,393.72,0,7500,0
0,472.5,0,1400,0,1068.96,0,1400,0,476.72,0,1400,0,558.53,0,1400,0,0,0,1400,0,250.38,0,1400,0,1068.96,0,1400,0,1068.96,0,1400,0,1068.96,0,1400,0,1068.96,0,1400,0
0,1161,0,3200,0,324.36,0,3200,0,995.4,0,3200,0,540.6,0,3200,0,1415.1,0,3200,0,465,0,3200,0,324.36,0,3200,0,324.36,0,3200,0,324.36,0,3200,0,324.36,0,3200,0
0,479.85,0,3000,0,415.16,0,3000,0,443.7,0,3000,0,165.9,0,3000,0,753.9,0,3000,0,1273.3,0,3000,0,415.16,0,3000,0,415.16,0,3000,0,415.16,0,3000,0,415.16,0,3000,0
0,931.22,0,13700,0,0,0,13700,0,221.54,0,13700,0,7.28,0,13700,0,176.55,0,13700,0,386.25,0,13700,0,0,0,13700,0,0,0,13700,0,0,0,13700,0,0,0,13700,0
1,6875.4,0,7000,0,5632.64,0,7000,0,6343.81,1040,7000,0,5204.85,0,5200,0,184.8,0,5200,0,176,0,5200,0,5632.64,0,7000,0,5632.64,0,7000,0,5632.64,0,7000,0,5632.64,0,7000,0
0,226.72,0,5200,0,328.49,0,5200,0,71.69,0,5200,0,385.35,0,5200,0,239.99,0,5200,0,685.98,0,5200,0,328.49,0,5200,0,328.49,0,5200,0,328.49,0,5200,0,328.49,0,5200,0
0,5.05,0,1700,0,33.6,0,1700,0,25.25,0,1700,0,412.65,0,1700,0,93.6,0,1700,0,66.66,0,1700,0,33.6,0,1700,0,33.6,0,1700,0,33.6,0,1700,0,33.6,0,1700,0
0,901.95,0,3100,0,535.6,0,3100,0,876,0,3100,0,822.83,0,3100,0,694.3,0,3100,0,1829.7,0,3100,0,535.6,0,3100,0,535.6,0,3100,0,535.6,0,3100,0,535.6,0,3100,0
0,339.36,0,2300,0,313.04,0,2300,0,439.92,0,2300,0,337.84,0,2300,0,295.8,0,2300,0,256.52,0,2300,0,313.04,0,2300,0,313.04,0,2300,0,313.04,0,2300,0,313.04,0,2300,0
0,1390.48,0,2500,0,1514.1,0,2500,0,2113.64,0,2500,0,841.05,0,2500,0,1267.86,0,2500,0,1597.51,0,2500,0,1514.1,0,2500,0,1514.1,0,2500,0,1514.1,0,2500,0,1514.1,0,2500,0
0,496.08,0,8500,0,194.82,0,8500,0,365.65,0,8500,0,456,0,8500,0,271.36,0,8500,0,112.36,0,8500,0,194.82,0,8500,0,194.82,0,8500,0,194.82,0,8500,0,194.82,0,8500,0
0,723.06,0,7300,0,670.95,0,7300,0,808.5,0,7300,0,263,0,7300,0,170,0,7300,0,306.6,0,7300,0,670.95,0,7300,0,670.95,0,7300,0,670.95,0,7300,0,670.95,0,7300,0
0,445.2,0,6500,0,1123.12,0,6500,0,1370.67,0,6500,0,4281,0,6500,0,0,0,6500,0,73.5,0,6500,0,1123.12,0,6500,0,1123.12,0,6500,0,1123.12,0,6500,0,1123.12,0,6500,0
0,392.2,0,13800,0,523.23,0,13800,0,375,0,13800,0,644.7,0,13800,0,120.84,0,13800,0,218.36,0,13800,0,523.23,0,13800,0,523.23,0,13800,0,523.23,0,13800,0,523.23,0,13800,0
0,1791.92,0,11800,0,661.26,0,11800,0,1716.14,0,11800,1,81.9,0,11800,0,2431.07,0,11800,0,3571.36,0,11800,0,661.26,0,11800,0,661.26,0,11800,0,661.26,0,11800,0,661.26,0,11800,0
0,1847.04,0,5300,0,1744.1,0,5300,0,1613.98,0,5300,0,389.48,0,5300,0,1298.86,0,5300,0,1197.8,0,5300,0,1744.1,0,5300,0,1744.1,0,5300,0,1744.1,0,5300,0,1744.1,0,5300,0
0,2152.84,0,10000,0,1565.41,0,10000,0,1497.83,0,10000,0,784,0,10000,0,2310.13,0,10000,0,2378.64,0,10000,0,1565.41,0,10000,0,1565.41,0,10000,0,1565.41,0,10000,0,1565.41,0,10000,0
0,5144.85,10.4,5200,0,5085.72,0,5200,0,5353.95,0,5200,0,5285.64,0,5200,0,5288.02,0,5200,0,5230.56,140.4,5200,0,5085.72,0,5200,0,5085.72,0,5200,0,5085.72,0,5200,0,5085.72,0,5200,0
0,154,0,3000,0,293.55,0,3000,1,124,0,3000,0,176.13,0,3000,0,135.34,0,3000,0,598.43,0,3000,0,293.55,0,3000,1,293.55,0,3000,1,293.55,0,3000,1,293.55,0,3000,1
0,707.88,0,2100,0,1011.84,0,2100,0,1378.16,0,2100,0,505.05,0,2100,0,539.34,0,2100,0,1278.06,0,2100,1,1011.84,0,2100,0,1011.84,0,2100,0,1011.84,0,2100,0,1011.84,0,2100,0
0,1200.54,0,1800,0,1231.36,0,1800,0,829,0,1800,0,895.56,16.64,1800,0,687.75,0,1800,0,641.68,0,1800,0,1231.36,0,1800,0,1231.36,0,1800,0,1231.36,0,1800,0,1231.36,0,1800,0
0,1508,0,3700,0,375.44,0,3700,0,1884.27,0,3700,0,1225.02,0,3700,0,854,0,3700,0,2471.04,0,3700,0,375.44,0,3700,0,375.44,0,3700,0,375.44,0,3700,0,375.44,0,3700,0
0,638.32,0,2700,0,20.8,0,2700,0,943.34,0,2700,1,257.87,0,2700,0,2140.34,273,2700,0,418.7,0,2700,0,20.8,0,2700,0,20.8,0,2700,0,20.8,0,2700,0,20.8,0,2700,0
0,0,0,13200,0,342,0,13200,0,459.68,0,13200,1,357.41,0,6700,0,80,0,6700,0,567,0,6700,1,342,0,13200,0,342,0,13200,0,342,0,13200,0,342,0,13200,0
0,3230.34,0,8100,0,2717.52,0,8100,0,3092.02,0,8100,0,7045.82,0,8100,1,2131.1,0,8100,0,2802.96,0,8100,0,2717.52,0,8100,0,2717.52,0,8100,0,2717.52,0,8100,0,2717.52,0,8100,0
0,329.26,0,1700,0,275.6,0,1700,0,549.44,0,1700,0,621.92,0,1700,0,332.77,0,1700,0,634.94,0,1700,0,275.6,0,1700,0,275.6,0,1700,0,275.6,0,1700,0,275.6,0,1700,0
0,544,0,4400,0,477,0,4400,0,946.05,0,4400,0,461.04,0,4400,0,285.83,0,4400,0,76,0,4400,0,477,0,4400,0,477,0,4400,0,477,0,4400,0,477,0,4400,0
0,3880.42,0,7600,0,2900.48,0,7600,0,2731.71,0,7600,0,2657.4,0,7600,0,3702.4,0,7600,0,1710.84,0,7600,0,2900.48,0,7600,0,2900.48,0,7600,0,2900.48,0,7600,0,2900.48,0,7600,0
0,0,0,13500,0,0,0,13500,0,0,0,13500,0,0,0,13500,0,0,0,13500,0,1274.12,0,13500,0,0,0,13500,0,0,0,13500,0,0,0,13500,0,0,0,13500,0
0,86.7,0,3600,0,119.6,0,3600,0,278.76,0,3600,0,223.65,0,3600,0,139.1,0,3600,0,393.9,0,3600,0,119.6,0,3600,0,119.6,0,3600,0,119.6,0,3600,0,119.6,0,3600,0
0,211.09,0,18900,0,316.13,0,18900,1,186.16,0,18900,0,198.97,0,18900,0,863.14,0,18900,1,747.78,0,18900,0,316.13,0,18900,1,316.13,0,18900,1,316.13,0,18900,1,316.13,0,18900,1
0,302.94,0,4100,0,136.99,0,4100,0,194.48,0,4100,0,376.73,0,4100,0,1084.65,0,4100,0,538,0,4100,0,136.99,0,4100,0,136.99,0,4100,0,136.99,0,4100,0,136.99,0,4100,0
0,484.42,0,5500,0,679.8,0,5500,0,190.8,0,5500,0,863.94,0,5500,0,170.98,0,5500,0,335.98,0,5500,0,679.8,0,5500,0,679.8,0,5500,0,679.8,0,5500,0,679.8,0,5500,0
0,1398.6,0,2600,0,554.26,0,2600,0,753,0,2600,0,432.28,0,2600,0,482.78,0,2600,0,0,0,2600,0,554.26,0,2600,0,554.26,0,2600,0,554.26,0,2600,0,554.26,0,2600,0
0,546,0,18300,0,2720.55,0,18300,1,1058.23,0,18300,0,2201.8,0,18300,0,1694.88,0,18300,0,1124.76,0,18300,0,2720.55,0,18300,1,2720.55,0,18300,1,2720.55,0,18300,1,2720.55,0,18300,1
0,13.39,0,2500,0,560.56,0,2500,0,1108,0,2500,0,250.95,0,2300,0,541.66,0,2300,0,60.6,0,2300,0,560.56,0,2500,0,560.56,0,2500,0,560.56,0,2500,0,560.56,0,2500,0
0,551,0,1500,0,1199.47,0,1500,0,682.5,0,1500,0,585,0,1500,0,493.96,0,1500,0,416.58,0,1500,0,1199.47,0,1500,0,1199.47,0,1500,0,1199.47,0,1500,0,1199.47,0,1500,0
0,197.95,0,4500,0,196.86,0,2500,0,386.83,0,2500,0,111.28,0,2500,0,108,104.04,2500,0,196.73,0,2500,0,196.86,0,2500,0,196.86,0,2500,0,196.86,0,2500,0,196.86,0,2500,0
0,302.64,0,2600,0,372.36,0,2600,0,1245.5,0,2600,0,153.47,0,2600,0,1151,0,2600,0,421.05,0,2600,0,372.36,0,2600,0,372.36,0,2600,0,372.36,0,2600,0,372.36,0,2600,0
1,710,0,6700,0,826.8,0,6700,0,590.72,0,6700,0,418.7,0,6700,0,124.12,0,6700,0,273.92,0,6700,0,826.8,0,6700,0,826.8,0,6700,0,826.8,0,6700,0,826.8,0,6700,0
0,414.09,0,3800,0,322.19,0,3800,0,299.98,0,3800,0,321.36,0,3800,0,161.6,0,3800,0,62.4,0,3800,0,322.19,0,3800,0,322.19,0,3800,0,322.19,0,3800,0,322.19,0,3800,0
0,941.6,0,9300,0,914.78,0,9300,0,794,0,9300,0,999.9,0,9300,0,1099.89,0,9300,0,569.1,0,9300,0,914.78,0,9300,0,914.78,0,9300,0,914.78,0,9300,0,914.78,0,9300,0
1,3609.12,0,5900,1,3343.24,0,5900,0,3403.92,0,5900,0,3223.5,0,5900,0,2560.51,0,5900,0,2337.84,0,5900,0,3343.24,0,5900,0,3343.24,0,5900,0,3343.24,0,5900,0,3343.24,0,5900,0
0,329.26,0,3000,0,587,0,3000,0,446,0,3000,0,265.2,0,3000,0,510.92,0,3000,0,432.48,0,3000,0,587,0,3000,0,587,0,3000,0,587,0,3000,0,587,0,3000,0
0,0,0,5000,0,393.46,0,5000,0,153.01,0,5000,0,264.62,0,5000,0,204.37,0,5000,0,91.67,0,5000,0,393.46,0,5000,0,393.46,0,5000,0,393.46,0,5000,0,393.46,0,5000,0
0,715.02,0,4200,0,1465.98,0,4200,1,1099.22,0,4200,0,1101.45,0,4200,0,1216.88,0,4200,0,672.59,0,4200,0,1465.98,0,4200,1,1465.98,0,4200,1,1465.98,0,4200,1,1465.98,0,4200,1
0,412.34,0,19200,0,426.12,0,19200,0,470.4,0,19200,0,420.24,0,19200,0,482.56,0,19200,0,355.52,0,19200,0,426.12,0,19200,0,426.12,0,19200,0,426.12,0,19200,0,426.12,0,19200,0
0,887.03,0,2200,0,190.74,0,2200,0,175.35,0,2200,0,276.66,0,2200,0,0,0,2200,0,109.18,0,2200,0,190.74,0,2200,0,190.74,0,2200,0,190.74,0,2200,0,190.74,0,2200,0
0,7375.48,416,8100,1,5457.9,84.84,8100,0,5217.32,253.98,8100,0,4714.68,206,8100,0,4539,39.52,8100,0,4792.98,206,8100,0,5457.9,84.84,8100,0,5457.9,84.84,8100,0,5457.9,84.84,8100,0,5457.9,84.84,8100,0
0,870.45,0,5400,0,307.84,0,5400,0,633.36,0,5400,0,927.15,0,5400,0,302,0,5400,0,380.54,0,5400,0,307.84,0,5400,0,307.84,0,5400,0,307.84,0,5400,0,307.84,0,5400,0
0,494,0,15300,0,111.3,0,15300,0,238,0,15300,0,291.72,0,15300,0,381,0,15300,0,268.26,0,15300,0,111.3,0,15300,0,111.3,0,15300,0,111.3,0,15300,0,111.3,0,15300,0
0,646.8,0,2800,0,390.37,0,2800,0,444.15,0,2800,0,288.08,0,2800,0,422.65,0,2800,0,591.6,0,2800,0,390.37,0,2800,0,390.37,0,2800,0,390.37,0,2800,0,390.37,0,2800,0
0,0,0,3300,0,0,0,3300,0,0,0,3300,0,0,0,3300,0,0,0,3300,0,0,0,3300,0,0,0,3300,0,0,0,3300,0,0,0,3300,0,0,0,3300,0
0,791.04,0,1300,0,264.71,0,1300,0,616.32,0,1300,0,39.9,0,1300,0,498.75,0,1300,0,494.7,0,1300,0,264.71,0,1300,0,264.71,0,1300,0,264.71,0,1300,0,264.71,0,1300,0
0,1849.88,0,5800,0,1973,0,5800,0,1268.88,0,5800,0,2146.2,0,5800,0,2548.74,0,5800,0,1370.57,0,5800,0,1973,0,5800,0,1973,0,5800,0,1973,0,5800,0,1973,0,5800,0
0,3704.4,0,9100,0,4879.35,0,9100,0,1897.11,0,9100,0,4153.08,0,9100,0,2006.25,0,9100,0,1916.48,0,9100,0,4879.35,0,9100,0,4879.35,0,9100,0,4879.35,0,9100,0,4879.35,0,9100,0
0,4900.6,0,4600,0,4975.5,0,4600,0,4864,0,4600,0,4364.21,0,4600,0,3828,0,4600,0,3564,0,4600,0,4975.5,0,4600,0,4975.5,0,4600,0,4975.5,0,4600,0,4975.5,0,4600,0
0,1524.09,0,2400,0,852.24,0,2400,0,273,0,2400,0,279.13,0,2400,0,348.4,0,2400,0,534,0,2400,0,852.24,0,2400,0,852.24,0,2400,0,852.24,0,2400,0,852.24,0,2400,0
1,12679.3,2837.12,12000,0,12932.4,2989.35,12000,0,12935.77,2985.56,12000,0,12490.11,2444.19,12000,0,8375.22,505,12000,0,7001.94,87.72,7000,0,12932.4,2989.35,12000,0,12932.4,2989.35,12000,0,12932.4,2989.35,12000,0,12932.4,2989.35,12000,0
0,0,0,4100,0,249,0,4100,0,0,0,4100,0,564.98,0,4100,0,643.37,0,4100,0,115.44,0,4100,0,249,0,4100,0,249,0,4100,0,249,0,4100,0,249,0,4100,0
0,1453.2,0,1800,0,1321.84,0,1800,0,1141.3,0,1800,0,1171.3,0,1800,0,1033.5,0,1800,0,1362,0,1800,0,1321.84,0,1800,0,1321.84,0,1800,0,1321.84,0,1800,0,1321.84,0,1800,0
0,1863.45,0,3800,0,863.49,0,3800,0,0,0,3800,0,3470.25,0,3800,0,3704.68,105.06,3800,0,2051.76,0,3800,0,863.49,0,3800,0,863.49,0,3800,0,863.49,0,3800,0,863.49,0,3800,0
0,179.92,0,12400,0,1348,0,12400,0,702.45,0,12400,0,1564.68,0,12400,0,765.44,0,12400,0,452.88,0,12400,0,1348,0,12400,0,1348,0,12400,0,1348,0,12400,0,1348,0,12400,0
0,0,0,10100,0,99.91,0,10100,0,0,0,10100,0,0,0,10100,0,8.48,0,10100,0,11.11,0,10100,0,99.91,0,10100,0,99.91,0,10100,0,99.91,0,10100,0,99.91,0,10100,0
0,497.49,0,2400,0,124.8,0,2400,0,688.04,0,2400,0,287.26,0,2400,0,705.13,0,2400,0,1235.22,0,2400,1,124.8,0,2400,0,124.8,0,2400,0,124.8,0,2400,0,124.8,0,2400,0
0,2471.04,0,6700,0,1646.73,0,6700,1,1194.9,0,6700,0,284.62,0,6700,0,0,0,6700,0,3.15,0,6700,0,1646.73,0,6700,1,1646.73,0,6700,1,1646.73,0,6700,1,1646.73,0,6700,1
0,389.86,0,8600,0,28,0,8600,0,350.96,0,8600,0,942.67,0,4600,0,2839.74,0,4600,1,1019.09,0,4600,0,28,0,8600,0,28,0,8600,0,28,0,8600,0,28,0,8600,0
0,306.03,0,4100,0,429.45,0,4100,0,167.44,0,4100,0,287.37,0,4100,0,307.65,0,4100,0,685.87,0,4100,0,429.45,0,4100,0,429.45,0,4100,0,429.45,0,4100,0,429.45,0,4100,0
0,1095.12,0,3300,0,1234.78,0,3300,0,897.13,0,3300,0,1216.88,0,2300,0,658.05,0,2300,0,313.51,0,2300,0,1234.78,0,3300,0,1234.78,0,3300,0,1234.78,0,3300,0,1234.78,0,3300,0
0,975.2,0,15700,0,360.06,0,15700,0,528.15,0,15700,0,425.21,0,15700,0,247.45,0,15700,0,634.4,0,15700,0,360.06,0,15700,0,360.06,0,15700,0,360.06,0,15700,0,360.06,0,15700,0
0,2995,0,19900,0,1674.58,0,19900,0,1462.8,0,19900,0,2206.05,0,19900,0,1161.78,0,19900,0,1945.26,0,19900,0,1674.58,0,19900,0,1674.58,0,19900,0,1674.58,0,19900,0,1674.58,0,19900,0
0,1958.32,0,16100,0,1420.65,0,16100,0,271.36,0,16100,0,195.84,0,16100,0,186.18,0,16100,0,247,0,16100,0,1420.65,0,16100,0,1420.65,0,16100,0,1420.65,0,16100,0,1420.65,0,16100,0
0,704,0,2500,0,691.95,0,2500,0,804.97,0,2500,1,543,0,2500,0,884,0,2500,0,125.08,0,2500,0,691.95,0,2500,0,691.95,0,2500,0,691.95,0,2500,0,691.95,0,2500,0
0,1805.4,0,14800,0,2275.52,0,14800,0,6000.41,0,14800,0,2589.4,0,14800,0,1595.8,0,14800,0,1754.8,0,14800,0,2275.52,0,14800,0,2275.52,0,14800,0,2275.52,0,14800,0,2275.52,0,14800,0
0,4102.2,0,4400,0,4202.9,0,4400,0,4229.88,0,4400,0,4201.37,0,4400,0,4387.34,0,4400,0,4301.28,0,4400,0,4202.9,0,4400,0,4202.9,0,4400,0,4202.9,0,4400,0,4202.9,0,4400,0
0,1844.96,0,2300,0,386.27,0,2300,0,207.06,0,2300,0,1933.14,0,2300,0,122.57,0,2300,0,652.7,0,2300,0,386.27,0,2300,0,386.27,0,2300,0,386.27,0,2300,0,386.27,0,2300,0
0,482.46,0,17700,0,463.22,0,17700,0,1022,0,17700,0,1070.16,0,17700,0,613,0,17700,0,768.56,0,17700,0,463.22,0,17700,0,463.22,0,17700,0,463.22,0,17700,0,463.22,0,17700,0
0,633.15,0,17800,0,485.81,0,17800,0,642,0,17800,0,862.92,0,17800,0,670.53,0,17800,0,663.4,0,17800,0,485.81,0,17800,0,485.81,0,17800,0,485.81,0,17800,0,485.81,0,17800,0
0,673.67,0,4200,0,634.94,0,4200,0,786.45,0,4200,0,503,0,4200,0,483,0,4200,0,769.6,0,4200,0,634.94,0,4200,0,634.94,0,4200,0,634.94,0,4200,0,634.94,0,4200,0
0,897.89,0,1200,0,847.39,0,1200,0,964.95,0,1200,0,867.26,0,1200,0,957.6,0,1200,0,873.12,0,1200,0,847.39,0,1200,0,847.39,0,1200,0,847.39,0,1200,0,847.39,0,1200,0
0,381.78,0,3300,0,238.96,0,3300,0,2128.23,0,3300,0,244.4,0,3300,0,64.05,0,3300,0,595.9,0,3300,0,238.96,0,3300,0,238.96,0,3300,0,238.96,0,3300,0,238.96,0,3300,0
0,124.12,0,7300,0,2230.98,0,7300,0,174.73,0,3300,0,273.71,0,3300,0,483,0,3300,0,258,0,3300,0,2230.98,0,7300,0,2230.98,0,7300,0,2230.98,0,7300,0,2230.98,0,7300,0
0,0,0,9300,0,507.02,0,9300,0,370.65,0,9300,0,1184.5,0,9300,0,1668.16,0,9300,1,350.2,0,9300,0,507.02,0,9300,0,507.02,0,9300,0,507.02,0,9300,0,507.02,0,9300,0
0,980.5,0,3600,0,1661.58,0,3600,0,1484.23,0,3600,0,617.76,0,3600,0,837.2,0,3600,0,1772.99,0,3600,0,1661.58,0,3600,0,1661.58,0,3600,0,1661.58,0,3600,0,1661.58,0,3600,0
0,5690.34,0,15100,0,2441.74,0,15100,0,1005.96,0,15100,0,1255.43,0,15100,0,1881.9,0,15100,0,4933.7,0,15100,0,2441.74,0,15100,0,2441.74,0,15100,0,2441.74,0,15100,0,2441.74,0,15100,0
0,122.21,0,1200,0,135.66,0,1200,0,15.9,0,1200,0,138.72,0,1200,0,13.26,0,1200,1,12.72,0,1200,0,135.66,0,1200,0,135.66,0,1200,0,135.66,0,1200,0,135.66,0,1200,0
0,1256.44,0,1700,0,1083.56,0,1700,0,1210.52,0,1700,0,1084.74,0,1700,0,1272.96,0,1700,0,1101,0,1700,0,1083.56,0,1700,0,1083.56,0,1700,0,1083.56,0,1700,0,1083.56,0,1700,0
0,173.34,0,3300,0,238.35,0,3300,0,177.48,0,3300,0,1382.44,0,3300,0,185.64,0,3300,0,410.22,0,3300,0,238.35,0,3300,0,238.35,0,3300,0,238.35,0,3300,0,238.35,0,3300,0
0,309.75,0,4300,0,469.35,0,4300,0,477.73,0,4300,0,577.5,0,4300,0,863.14,0,4300,0,298,0,4300,0,469.35,0,4300,0,469.35,0,4300,0,469.35,0,4300,0,469.35,0,4300,0
0,1113,0,1800,0,379.48,0,1800,0,150.96,0,1800,0,738.4,0,1800,0,282,0,1800,0,52,0,1800,0,379.48,0,1800,0,379.48,0,1800,0,379.48,0,1800,0,379.48,0,1800,0
0,242.76,0,3100,0,140.7,0,3100,0,249.1,0,3100,0,134,0,3100,0,57.68,0,3100,0,165.36,0,3100,0,140.7,0,3100,0,140.7,0,3100,0,140.7,0,3100,0,140.7,0,3100,0
0,410.88,0,3300,0,103.88,0,3300,0,846.56,0,3300,0,520.8,0,3300,0,181.56,0,3300,0,689.07,0,3300,0,103.88,0,3300,0,103.88,0,3300,0,103.88,0,3300,0,103.88,0,3300,0
0,1279.67,0,3600,0,1251,0,3600,0,976.44,0,3600,0,1565.2,0,3600,0,1308.96,0,3600,0,1294.38,0,3600,0,1251,0,3600,0,1251,0,3600,0,1251,0,3600,0,1251,0,3600,0
0,498.78,0,1300,0,414.09,0,1300,0,0,0,1300,0,607.36,0,1300,0,268.32,0,1300,0,148.47,0,1300,0,414.09,0,1300,0,414.09,0,1300,0,414.09,0,1300,0,414.09,0,1300,0
0,654.05,0,2300,0,610.05,0,2300,0,672.88,0,2300,0,756.08,0,2300,0,449.4,0,2300,0,660.19,0,2300,0,610.05,0,2300,0,610.05,0,2300,0,610.05,0,2300,0,610.05,0,2300,0
0,955.51,0,4500,0,1279.26,0,4500,0,892.84,0,4500,0,2587.74,0,4500,0,1717.35,0,4500,1,787.58,0,4500,0,1279.26,0,4500,0,1279.26,0,4500,0,1279.26,0,4500,0,1279.26,0,4500,0
0,1598.58,0,2700,0,1253.7,0,2700,0,1001.92,0,2700,0,1355,0,2700,0,2498.45,0,2700,1,1639.14,0,2700,0,1253.7,0,2700,0,1253.7,0,2700,0,1253.7,0,2700,0,1253.7,0,2700,0
0,32.1,0,2200,0,12.24,0,2200,0,78,0,2200,0,167.44,0,2200,0,108.15,0,2200,0,197.16,0,2200,0,12.24,0,2200,0,12.24,0,2200,0,12.24,0,2200,0,12.24,0,2200,0
